level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	225	225	-1	
2	1	1	0	0	0	51	61	124	9	-1	
3	1	1	1	0	0	51	61	124	9	-1	
4	1	1	1	1	0	51	61	124	9	-1	
5	1	1	1	1	1	51	61	88	9	95	IDENTIFICATION
5	1	1	1	1	2	144	62	31	8	96	CARD
2	1	2	0	0	0	91	83	82	15	-1	
3	1	2	1	0	0	91	83	82	15	-1	
4	1	2	1	1	0	91	83	82	15	-1	
5	1	2	1	1	1	91	85	14	3	34	se
5	1	2	1	1	2	125	83	48	15	0	Getsane
2	1	3	0	0	0	91	133	89	23	-1	
3	1	3	1	0	0	91	133	89	23	-1	
4	1	3	1	1	0	91	133	89	23	-1	
5	1	3	1	1	1	91	133	89	23	96	WILLIAMS
2	1	4	0	0	0	111	149	70	7	-1	
3	1	4	1	0	0	111	149	70	7	-1	
4	1	4	1	1	0	111	149	70	7	-1	
5	1	4	1	1	1	111	150	32	6	44	tenance
5	1	4	1	1	2	152	149	29	7	43	Servis
2	1	5	0	0	0	28	81	57	2	-1	
3	1	5	1	0	0	28	81	57	2	-1	
4	1	5	1	1	0	28	81	57	2	-1	
5	1	5	1	1	1	28	81	57	2	95	 
2	1	6	0	0	0	84	90	28	38	-1	
3	1	6	1	0	0	84	90	28	38	-1	
4	1	6	1	1	0	84	90	28	38	-1	
5	1	6	1	1	1	84	90	28	38	95	 
2	1	7	0	0	0	28	81	1	76	-1	
3	1	7	1	0	0	28	81	1	76	-1	
4	1	7	1	1	0	28	81	1	76	-1	
5	1	7	1	1	1	28	81	1	76	95	 
2	1	8	0	0	0	84	81	1	76	-1	
3	1	8	1	0	0	84	81	1	76	-1	
4	1	8	1	1	0	84	81	1	76	-1	
5	1	8	1	1	1	84	81	1	76	95	 
2	1	9	0	0	0	98	151	12	5	-1	
3	1	9	1	0	0	98	151	12	5	-1	
4	1	9	1	1	0	98	151	12	5	-1	
5	1	9	1	1	1	98	151	12	5	95	 
2	1	10	0	0	0	28	155	57	2	-1	
3	1	10	1	0	0	28	155	57	2	-1	
4	1	10	1	1	0	28	155	57	2	-1	
5	1	10	1	1	1	28	155	57	2	95	 
